predictor,outcome,PPMC,pval,PPMC_abs
MW_15-18_4_AnsVal,SF-36_36,0.3957209531,1.94776157355049E-027,0.3957209531
CTXD_47-49_3_AnsVal,SF-36_30,0.39441165,2.21197297346562E-017,0.39441165
CTXD_24-28_4_AnsVal,SF-36_30,0.3942556703,4.41759682735216E-027,0.3942556703
MJM_3C_3-5_3_AnsVal,SF-36_27,0.3942329147,3.80143956848983E-018,0.3942329147
CTXD_39-43_4_AnsVal,SF-36_30,0.393932376,3.80030818540733E-027,0.393932376
SF-36_20,SF-36_36,0.3937060669,2.2571265421638E-027,0.3937060669
PHQ_2E-H_3_AnsVal,SF-36_27,0.3927781835,7.11775148730171E-027,0.3927781835
MW_7-10_1_AnsVal,SF-36_30,0.3924835091,7.82588486745472E-027,0.3924835091
CTXD_24-28_3_AnsVal,SF-36_34,0.3905077639,1.35643018666516E-026,0.3905077639
CTXD_50-54_2_AnsVal,SF-36_30,0.3902640125,1.73236338090181E-026,0.3902640125
FSI_13,SF-36_26,0.3895424389,1.56398750819671E-026,0.3895424389
BPI_E-G_1_AnsText,SF-36_23,0.3891940853,1.59250877278194E-011,0.3891940853
CTXD_24-28_4_AnsVal,SF-36_26,0.3891176702,2.11405504981879E-026,0.3891176702
FSI_14,SF-36_30,0.3888154892,1.67218878851798E-026,0.3888154892
MW_19-23_5_AnsVal,SF-36_26,0.3886582791,2.65750014418984E-026,0.3886582791
CTXD_39-43_5_AnsVal,SF-36_36,0.3878650689,1.9218399930926E-026,0.3878650689
MW_1,SF-36_27,0.38677341,3.77611254370409E-026,0.38677341
ISQ_8-11_3_AnsVal,SF-36_23,0.3864948348,5.07289234492275E-016,0.3864948348
GAD7_5G,SF-36_23,0.3861291968,1.23038247673721E-025,0.3861291968
ISQ_2-7_5_AnsVal,SF-36_26,0.3851688687,1.1985476044862E-025,0.3851688687
BPI_A-D_2_AnsText,SF-36_26,0.3850065295,2.72868908211744E-011,0.3850065295
SF-36_22,SF-36_23,0.384650327,4.92841487521517E-026,0.384650327
CTXD_29-33_2_AnsVal,SF-36_34,0.3843907322,6.2871417567221E-026,0.3843907322
FSI_5-8_1_AnsText,SF-36_30,0.3838556464,8.74102231718351E-026,0.3838556464
CTXD_44-46_1_AnsVal,SF-36_30,0.3837956655,7.58444194576253E-026,0.3837956655
FSI_15,SF-36_30,0.3836774124,7.87215549634439E-026,0.3836774124
FSI_5-8_1_AnsText,SF-36_34,0.3836724264,9.25862846504484E-026,0.3836724264
MJM_3C_2,SF-36_23,0.3833738535,1.16835076295851E-017,0.3833738535
CTXD_39-43_4_AnsVal,SF-36_34,0.382995738,1.24004969789867E-025,0.382995738
MW_3,SF-36_26,0.382241124,8.98554804216296E-026,0.382241124
PHQ_2E-H_1_AnsVal,SF-36_27,0.3812382736,4.73740319080001E-025,0.3812382736
ISQ_8-11_4_AnsVal,SF-36_30,0.381152013,1.36842649428458E-015,0.381152013
CTXD_24-28_2_AnsVal,SF-36_27,0.3811441616,2.39048203950556E-025,0.3811441616
CTXD_39-43_1_AnsVal,SF-36_26,0.3807042323,1.84575541426273E-025,0.3807042323
MW_19-23_1_AnsVal,SF-36_26,0.3792615993,3.38245133546016E-025,0.3792615993
FSI_5-8_2_AnsText,SF-36_27,0.3791836341,3.74737992007111E-025,0.3791836341
